City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
260,Geraldton,-28.77,114.6,57.2,93,75,8.05,Clouds,2020-08-02 19:07:46
261,Bonoua,5.27,-3.6,78.8,78,20,9.17,Clouds,2020-08-02 19:00:42
262,Maroantsetra,-15.43,49.73,69.22,86,100,15.41,Rain,2020-08-02 19:09:40
263,Klyuchi,52.27,79.17,67.06,73,0,9.78,Clear,2020-08-02 19:03:58
264,Bukachacha,52.98,116.92,61.05,89,100,8.32,Clouds,2020-08-02 19:01:46
265,Kaseda,31.42,130.32,77.56,80,0,2.71,Clear,2020-08-02 19:09:40
266,Daoukro,7.06,-3.96,75.7,75,57,4.21,Clouds,2020-08-02 19:09:41
267,Okhotsk,59.38,143.3,53.38,78,0,1.34,Clear,2020-08-02 19:09:41
268,Cap-Aux-Meules,47.38,-61.86,77.0,69,40,12.75,Clouds,2020-08-02 19:09:39
269,Yendi,9.44,-0.01,75.7,83,86,4.54,Clouds,2020-08-02 19:09:41
270,Maniitsoq,65.42,-52.9,48.22,87,100,10.02,Clouds,2020-08-02 19:02:17
271,Kharp,66.8,65.81,59.54,85,100,5.84,Clouds,2020-08-02 19:09:41
272,Auki,-8.77,160.7,76.75,85,6,4.14,Clear,2020-08-02 19:08:08
273,Egvekinot,66.32,-179.17,43.57,70,12,1.57,Clouds,2020-08-02 19:08:06
274,Puerto Leguizamo,-0.19,-74.78,87.28,55,7,2.48,Rain,2020-08-02 19:09:41
275,Kloulklubed,7.04,134.26,84.45,75,100,6.87,Rain,2020-08-02 19:01:54
276,Svetlyy,54.67,20.13,66.2,68,22,4.47,Clouds,2020-08-02 19:01:11
277,Hasaki,35.73,140.83,69.8,100,20,3.36,Clouds,2020-08-02 19:08:06
278,Lovington,32.94,-103.35,93.99,24,5,6.93,Clear,2020-08-02 19:09:42
279,Kolokani,13.57,-8.03,80.51,80,33,7.52,Clouds,2020-08-02 19:09:42
280,Kismayo,-0.36,42.55,77.49,77,85,19.26,Rain,2020-08-02 19:09:42
281,Artyom,40.47,50.33,77.0,83,40,18.34,Clouds,2020-08-02 19:09:42
